# pipeline_recall | collection emt (epithelial-mesenchymal transition (EMT)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,description,unit,resolution,n_gene_lists,n_gene_lists_empty,median_genes_per_list,n_tests,n_signatures_testable,n_signatures_recovered,recall_any,n_signatures_named,recall_named,n_units_with_a_name,n_significant_pairs,mean_hits_per_list,max_hits_per_list,frac_lists_with_no_hit,median_best_fdr,recovered,named,min_cluster_cells,median_cluster_cells,max_cohort_dominance,n_clusters_one_cohort_over_80pct,recall
drvi_axes,"05_3: DRVI decoder, 64 dimensions x 2 directions (8 flagged vanished and NOT pruned)",axis,,128,0,200.0,512,4,3,0.75,2,0.5,2,3,0.0234375,2,0.984375,0.04305134308813397,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_HYBRID,EMT_A_MESENCHYMAL; EMT_C_HYBRID,,,,,0.5
drvi_axes_matched,"the first 75 of the 128 decoder directions, in DRVI's own reconstruction-effect order - the widest Leiden partition of this run",axis,,75,0,200.0,300,4,4,1.0,2,0.5,2,4,0.05333333333333334,3,0.9733333333333334,0.02659263707480391,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_HYBRID; EMT_C_MESENCHYMAL,EMT_A_MESENCHYMAL; EMT_C_HYBRID,,,,,0.5
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.2,18,0,147.0,72,4,0,0.0,0,0.0,0,0,0.0,0,1.0,,,,5.0,112.0,1.0,12.0,0.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.4,18,0,200.0,72,4,0,0.0,0,0.0,0,0,0.0,0,1.0,,,,13.0,1326.5,1.0,9.0,0.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.6,26,0,186.5,104,4,0,0.0,0,0.0,0,0,0.0,0,1.0,,,,6.0,1366.0,1.0,13.0,0.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.8,28,0,200.0,112,4,0,0.0,0,0.0,0,0,0.0,0,1.0,,,,10.0,1347.0,1.0,14.0,0.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.0,36,0,169.0,144,4,0,0.0,0,0.0,0,0,0.0,0,1.0,,,,6.0,749.0,1.0,18.0,0.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.5,45,0,175.0,180,4,3,0.75,1,0.25,3,6,0.13333333333333333,3,0.9333333333333333,0.022708957539798364,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_MESENCHYMAL,EMT_A_MESENCHYMAL,10.0,583.0,1.0,22.0,0.25
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,2.0,57,0,169.0,228,4,1,0.25,1,0.25,1,1,0.017543859649122806,1,0.9824561403508771,0.02655111964863707,EMT_A_MESENCHYMAL,EMT_A_MESENCHYMAL,5.0,461.0,1.0,31.0,0.25
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,3.0,75,0,157.0,300,4,4,1.0,3,0.75,4,9,0.12,3,0.9466666666666667,0.020088260373443134,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_HYBRID; EMT_C_MESENCHYMAL,EMT_A_MESENCHYMAL; EMT_B_MESENCHYMAL; EMT_C_HYBRID,5.0,429.0,1.0,35.0,0.75
