factor,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
DR 2+,GO:BP,GO:0030199,collagen fibril organization,0.00039288334823799396,True,"""Any process that determines the size and arrangement of collagen fibrils within an extracellular matrix."" [GOC:mah, ISBN:0815316194]",21,20,9,1902,0.45,0.42857142857142855,query_1,['GO:0030198']
DR 3-,GO:BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,4.309489536246184e-05,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or polysaccharide) on its cell surface in association with an MHC class II protein complex."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591, PMID:16153240]",19,67,12,1902,0.1791044776119403,0.631578947368421,query_1,['GO:0019882']
DR 3-,GO:BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,0.00016190413065721314,True,"""The process in which an antigen-presenting cell expresses a peptide antigen on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15531770, PMID:15771591]",17,67,11,1902,0.16417910447761194,0.6470588235294118,query_1,"['GO:0002504', 'GO:0048002']"
DR 3-,GO:BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,0.0005913681652624013,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class II protein complex. The peptide antigen is typically, but not always, processed from a whole protein."" [GOC:add, ISBN:0781735149, PMID:15771591]",15,67,10,1902,0.14925373134328357,0.6666666666666666,query_1,"['GO:0002478', 'GO:0002495']"
DR 3-,GO:BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,0.0012787049924013485,True,"""The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC protein complex. The peptide is typically a fragment of a larger exogenous protein which has been degraded within the cell."" [GOC:add, ISBN:0781735149]",16,67,11,1902,0.16417910447761194,0.6875,query_1,"['GO:0019884', 'GO:0048002']"
DR 3-,GO:BP,GO:0150146,cell junction disassembly,0.014306618864810517,True,"""The disaggregation of a cell junction into its constituent components."" [GOC:aruk, PMID:25490267]",9,5,4,1902,0.8,0.4444444444444444,query_1,"['GO:0022411', 'GO:0034330']"
DR 3-,GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,0.014416152438603365,True,"""The process in which an antigen-presenting cell expresses antigen (peptide or lipid) of exogenous origin on its cell surface in association with an MHC protein complex."" [GOC:add, ISBN:0781735149, PMID:15771591, PMID:15928678]",17,67,11,1902,0.16417910447761194,0.6470588235294118,query_1,['GO:0019882']
DR 9-,GO:BP,GO:0019646,aerobic electron transport chain,1.0803715932991422e-09,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient."" [GOC:ai, GOC:mtg_electron_transport]",14,12,11,1902,0.9166666666666666,0.7857142857142857,query_1,"['GO:0006119', 'GO:0009060', 'GO:0022904']"
DR 9-,GO:BP,GO:0006119,oxidative phosphorylation,1.3617158241758353e-09,True,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",20,12,12,1902,1.0,0.6,query_1,['GO:0009060']
DR 9-,GO:BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,2.2451841943936262e-09,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP, as it occurs in the mitochondrial inner membrane or chloroplast thylakoid membrane."" [GOC:mtg_sensu, ISBN:0716731363]",16,12,11,1902,0.9166666666666666,0.6875,query_1,['GO:0042773']
DR 9-,GO:BP,GO:0042773,ATP synthesis coupled electron transport,2.2451841943936262e-09,True,"""The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."" [ISBN:0716731363]",16,12,11,1902,0.9166666666666666,0.6875,query_1,"['GO:0006119', 'GO:0022904']"
DR 9-,GO:BP,GO:0022904,respiratory electron transport chain,1.2789471605293522e-08,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient."" [GOC:mtg_electron_transport, ISBN:0716720094]",17,12,11,1902,0.9166666666666666,0.6470588235294118,query_1,"['GO:0022900', 'GO:0045333']"
DR 9-,GO:BP,GO:1902600,proton transmembrane transport,3.359346642707611e-08,True,"""The directed movement of a proton across a membrane."" [GO_REF:0000069, GOC:pr, GOC:TermGenie]",17,12,12,1902,1.0,0.7058823529411765,query_1,['GO:0098655']
DR 9-,GO:BP,GO:0022900,electron transport chain,3.664904452090697e-08,True,"""A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors."" [GOC:mtg_electron_transport]",18,12,11,1902,0.9166666666666666,0.6111111111111112,query_1,['GO:0006091']
DR 9-,GO:BP,GO:0009060,aerobic respiration,7.057674679518084e-06,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which requires oxygen as the terminal electron acceptor."" [GOC:das, GOC:jl, ISBN:0140513590]",35,12,12,1902,1.0,0.34285714285714286,query_1,['GO:0045333']
DR 9-,GO:BP,GO:0045333,cellular respiration,3.3872822217083444e-05,True,"""The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration)."" [GOC:das, ISBN:0140513590, ISBN:0198506732]",39,12,12,1902,1.0,0.3076923076923077,query_1,['GO:0015980']
DR 9-,GO:BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,3.446903153407915e-05,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",8,12,8,1902,0.6666666666666666,1.0,query_1,"['GO:0006119', 'GO:0015986']"
DR 9-,GO:BP,GO:0015986,proton motive force-driven ATP synthesis,0.00012130134880749901,True,"""The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force)."" [GOC:vw]",8,12,8,1902,0.6666666666666666,1.0,query_1,['GO:0006754']
DR 9-,GO:BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.00031027447348674073,True,"""The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation."" [ISBN:0716731363]",8,12,7,1902,0.5833333333333334,0.875,query_1,"['GO:0019646', 'GO:0042775']"
DR 9-,GO:BP,GO:0015980,energy derivation by oxidation of organic compounds,0.0006857275414351374,True,"""The chemical reactions and pathways by which a cell derives energy from organic compounds; results in the oxidation of the compounds from which energy is released."" [GOC:mah]",46,12,12,1902,1.0,0.2608695652173913,query_1,['GO:0006091']
DR 9-,GO:BP,GO:0006754,ATP biosynthetic process,0.0009996676740817053,True,"""The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [GOC:go_curators, ISBN:0198506732]",11,12,8,1902,0.6666666666666666,0.7272727272727273,query_1,"['GO:0009152', 'GO:0009206', 'GO:0046034']"
DR 9-,GO:BP,GO:0009206,purine ribonucleoside triphosphate biosynthetic process,0.002301705319772864,True,"""The chemical reactions and pathways resulting in the formation of purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",11,12,8,1902,0.6666666666666666,0.7272727272727273,query_1,"['GO:0009145', 'GO:0009201', 'GO:0009205']"
DR 9-,GO:BP,GO:0009145,purine nucleoside triphosphate biosynthetic process,0.002472194610636287,True,"""The chemical reactions and pathways resulting in the formation of purine nucleoside triphosphate, a compound consisting of a purine base linked to a ribose or deoxyribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",11,12,8,1902,0.6666666666666666,0.7272727272727273,query_1,"['GO:0009142', 'GO:0009144']"
DR 9-,GO:BP,GO:0006091,generation of precursor metabolites and energy,0.0032440593315406522,True,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",51,12,12,1902,1.0,0.23529411764705882,query_1,['GO:0008152']
DR 9-,GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.0034993831815447467,True,"""The chemical reactions and pathways resulting in the formation of a ribonucleoside triphosphate, a compound consisting of a nucleobase linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",11,12,8,1902,0.6666666666666666,0.7272727272727273,query_1,['GO:0009142']
DR 9-,GO:BP,GO:0009142,nucleoside triphosphate biosynthetic process,0.006298521181989759,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."" [GOC:go_curators, ISBN:0198506732]",12,12,8,1902,0.6666666666666666,0.6666666666666666,query_1,"['GO:0009141', 'GO:1901293']"
DR 9-,GO:BP,GO:0015990,electron transport coupled proton transport,0.02873059426604147,True,"""The transport of protons against an electrochemical gradient, using energy from electron transport."" [GOC:mah]",3,11,3,1902,0.2727272727272727,1.0,query_1,['GO:0015988']
DR 9-,GO:BP,GO:0015988,"energy coupled proton transmembrane transport, against electrochemical gradient",0.02873059426604147,True,"""The transport of protons across a membrane and against an electrochemical gradient, using energy from a source such as ATP hydrolysis, light, or electron transport."" [GOC:mah]",3,11,3,1902,0.2727272727272727,1.0,query_1,['GO:1902600']
DR 9-,GO:BP,GO:0009152,purine ribonucleotide biosynthetic process,0.03553226930338724,True,"""The chemical reactions and pathways resulting in the formation of a purine ribonucleotide, a compound consisting of ribonucleoside (a purine base linked to a ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",16,12,8,1902,0.6666666666666666,0.5,query_1,"['GO:0006164', 'GO:0009150', 'GO:0009260']"
DR 11-,GO:BP,GO:0098813,nuclear chromosome segregation,1.25233472132422e-10,True,"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]",56,83,45,1902,0.5421686746987951,0.8035714285714286,query_1,['GO:0007059']
DR 11-,GO:BP,GO:0000070,mitotic sister chromatid segregation,1.4887836463695654e-10,True,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",44,57,29,1902,0.5087719298245614,0.6590909090909091,query_1,"['GO:0000819', 'GO:0140014', 'GO:1903047']"
DR 11-,GO:BP,GO:0140014,mitotic nuclear division,1.7971003997130281e-09,True,"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]",60,67,36,1902,0.5373134328358209,0.6,query_1,"['GO:0000280', 'GO:1903047']"
DR 11-,GO:BP,GO:0007059,chromosome segregation,2.66310978264896e-09,True,"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]",70,83,50,1902,0.6024096385542169,0.7142857142857143,query_1,['GO:0022402']
DR 11-,GO:BP,GO:0000819,sister chromatid segregation,2.9175111780185617e-09,True,"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]",47,83,37,1902,0.4457831325301205,0.7872340425531915,query_1,"['GO:0051276', 'GO:0098813']"
DR 11-,GO:BP,GO:1902850,microtubule cytoskeleton organization involved in mitosis,8.54733720523157e-08,True,"""Any microtubule cytoskeleton organization that is involved in mitosis."" [GO_REF:0000060, GOC:TermGenie, PMID:18799626]",37,58,25,1902,0.43103448275862066,0.6756756756756757,query_1,"['GO:0000226', 'GO:1903047']"
DR 11-,GO:BP,GO:0051310,metaphase chromosome alignment,9.845528859798126e-08,True,"""A chromosome localization process whereby chromosomes are positioned in a specific order and orientation at the metaphase plate (spindle equator), during chromosome segregation. This alignment ensures that each daughter cell will receive the correct number of chromosomes during cell division."" [GOC:vw]",27,83,24,1902,0.2891566265060241,0.8888888888888888,query_1,"['GO:0050000', 'GO:0098813']"
DR 11-,GO:BP,GO:0000280,nuclear division,1.481610213699402e-07,True,"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]",70,57,38,1902,0.6666666666666666,0.5428571428571428,query_1,['GO:0048285']
DR 11-,GO:BP,GO:1905818,regulation of chromosome separation,1.83022639649261e-07,True,"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]",23,78,20,1902,0.2564102564102564,0.8695652173913043,query_1,"['GO:0051304', 'GO:0051983']"
DR 11-,GO:BP,GO:0010965,regulation of mitotic sister chromatid separation,3.298162476373995e-07,True,"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]",20,78,18,1902,0.23076923076923078,0.9,query_1,"['GO:0051306', 'GO:1905818']"
DR 11-,GO:BP,GO:0051301,cell division,4.969809115730819e-07,True,"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]",87,67,50,1902,0.746268656716418,0.5747126436781609,query_1,['GO:0009987']
DR 11-,GO:BP,GO:0050000,chromosome localization,6.09894772736937e-07,True,"""Any process in which a chromosome is transported to, or maintained in, a specific location."" [GOC:ai]",28,83,25,1902,0.30120481927710846,0.8928571428571429,query_1,['GO:0051640']
DR 11-,GO:BP,GO:0071173,spindle assembly checkpoint signaling,7.704194924992009e-07,True,"""A signaling process that delays the metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mah]",18,78,16,1902,0.20512820512820512,0.8888888888888888,query_1,['GO:0031577']
