# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP12_EMT_1,0.4182,MP12_EMT_1,0.4182,MP12_EMT_1,35.6946,2.0202262041587567e-36,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 1-,DR 1,-,MP21_RESPIRATION,0.2076,MP21_RESPIRATION,0.2076,MP7_STRESS_IN_VITRO,2.1998,0.006312479779910386,True,True,False,False,metabolic,stress,both_routes_different_family,False,depth
DR 2+,DR 2,+,MP21_RESPIRATION,0.2637,MP21_RESPIRATION,0.2637,MP6_HYPOXIA,1.8622,0.013734093509770003,True,True,False,False,metabolic,stress,both_routes_different_family,False,depth
DR 2-,DR 2,-,MP17_INTERFERON_MHC_II_1,0.2345,MP17_INTERFERON_MHC_II_1,0.2345,MP35_HEMATO_RELATED_1,2.4179,0.003820322268844109,True,True,False,False,immune,other_lineage,both_routes_different_family,False,none
DR 3+,DR 3,+,MP41_UNASSIGNED,0.4577,MP41_UNASSIGNED,0.4577,MP41_UNASSIGNED,2.0265,0.009408058300365892,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 3-,DR 3,-,MP21_RESPIRATION,0.3859,MP21_RESPIRATION,0.3859,MP14_EMT_3,4.3982,3.9976061080015006e-05,True,True,False,False,metabolic,emt,both_routes_different_family,False,depth
DR 4+,DR 4,+,MP8_PROTEASOMAL_DEGRADATION,0.155,MP8_PROTEASOMAL_DEGRADATION,0.155,MP21_RESPIRATION,2.0265,0.009408058300365892,False,True,False,False,proteostasis,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 4-,DR 4,-,MP41_UNASSIGNED,0.4421,MP41_UNASSIGNED,0.4421,MP41_UNASSIGNED,3.0679,0.0008552636219404668,True,True,True,True,unassigned,unassigned,convergent,False,depth
DR 5+,DR 5,+,MP15_EMT_4,0.2779,MP15_EMT_4,0.2779,MP14_EMT_3,3.662,0.0002177709772353159,True,True,False,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP2_CELL_CYCLE_G1_S,0.7702,MP2_CELL_CYCLE_G1_S,0.7702,MP2_CELL_CYCLE_G1_S,34.2993,5.019957033789444e-35,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 6+,DR 6,+,MP13_EMT_2,0.1498,MP13_EMT_2,0.1498,MP13_EMT_2,2.8714,0.0013446213415344887,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 6-,DR 6,-,MP23_SECRETED_2,0.3622,MP23_SECRETED_2,0.3622,MP23_SECRETED_2,7.4397,3.6332894685013125e-08,True,True,True,True,secreted,secreted,convergent,False,cell_cycle
DR 7+,DR 7,+,MP9_UNFOLDED_PROTEIN_RESPONSE,0.3437,MP9_UNFOLDED_PROTEIN_RESPONSE,0.3437,MP8_PROTEASOMAL_DEGRADATION,3.823,0.00015031419660900224,True,True,False,True,proteostasis,proteostasis,convergent,False,depth
DR 7-,DR 7,-,MP21_RESPIRATION,0.2914,MP21_RESPIRATION,0.2914,MP21_RESPIRATION,3.3732,0.00042344791616920726,True,True,True,True,metabolic,metabolic,convergent,False,depth
DR 8+,DR 8,+,MP2_CELL_CYCLE_G1_S,0.4609,MP2_CELL_CYCLE_G1_S,0.4609,MP2_CELL_CYCLE_G1_S,6.9981,1.0043844955739158e-07,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 8-,DR 8,-,MP23_SECRETED_2,0.3071,MP23_SECRETED_2,0.3071,MP14_EMT_3,1.8622,0.013734093509770003,True,True,False,False,secreted,emt,both_routes_different_family,False,cell_cycle
DR 9+,DR 9,+,MP5_STRESS,0.8322,MP5_STRESS,0.8322,MP5_STRESS,38.8657,1.362385460030845e-39,True,True,True,True,stress,stress,convergent,False,none
DR 9-,DR 9,-,MP20_MYC,0.1792,MP20_MYC,0.1792,MP21_RESPIRATION,3.3732,0.00042344791616920726,False,True,False,False,metabolic,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 10+,DR 10,+,MP30_PDAC_CLASSICAL,0.173,MP30_PDAC_CLASSICAL,0.173,MP14_EMT_3,3.662,0.0002177709772353159,False,True,False,False,epithelial_lineage,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 10-,DR 10,-,MP12_EMT_1,0.3515,MP12_EMT_1,0.3515,MP12_EMT_1,8.3508,4.458615279480711e-09,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 11+,DR 11,+,MP7_STRESS_IN_VITRO,0.0704,MP7_STRESS_IN_VITRO,0.0704,MP21_RESPIRATION,2.0265,0.009408058300365892,False,True,False,False,stress,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 11-,DR 11,-,MP18_INTERFERON_MHC_II_2,0.2728,MP18_INTERFERON_MHC_II_2,0.2728,MP18_INTERFERON_MHC_II_2,7.2052,6.234476611050065e-08,True,True,True,True,immune,immune,convergent,False,none
DR 12+,DR 12,+,MP25_ASTROCYTES,0.1777,MP25_ASTROCYTES,0.1777,MP23_SECRETED_2,2.9916,0.0010195299775626024,False,True,False,False,neural,secreted,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 12-,DR 12,-,MP13_EMT_2,0.3148,MP13_EMT_2,0.3148,MP13_EMT_2,12.734,1.8450154191794737e-13,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 13+,DR 13,+,MP8_PROTEASOMAL_DEGRADATION,0.3669,MP8_PROTEASOMAL_DEGRADATION,0.3669,MP8_PROTEASOMAL_DEGRADATION,3.823,0.00015031419660900224,True,True,True,True,proteostasis,proteostasis,convergent,False,depth
DR 13-,DR 13,-,MP41_UNASSIGNED,0.337,MP41_UNASSIGNED,0.337,MP5_STRESS,2.3434,0.004535237134514454,True,True,False,False,unassigned,stress,both_routes_different_family,False,depth
DR 14+,DR 14,+,MP41_UNASSIGNED,0.6479,MP41_UNASSIGNED,0.6479,MP29_NPC_OPC,0.902,0.1253141174941416,True,False,False,False,unassigned,neural,cell_only_state_not_on_one_axis,False,depth
DR 14-,DR 14,-,MP3_CELL_CYCLE_HMG_RICH,0.3218,MP3_CELL_CYCLE_HMG_RICH,0.3218,MP14_EMT_3,3.662,0.0002177709772353159,True,True,False,False,cell_cycle,emt,both_routes_different_family,False,"depth,cell_cycle"
DR 15+,DR 15,+,MP10_PROTEIN_MATURATION,0.1687,MP10_PROTEIN_MATURATION,0.1687,MP17_INTERFERON_MHC_II_1,3.4714,0.00033775361033186907,False,True,False,False,proteostasis,immune,factor_only_candidate_patient_or_technical,False,none
DR 15-,DR 15,-,MP14_EMT_3,0.5834,MP14_EMT_3,0.5834,MP14_EMT_3,16.8532,1.4021678337057553e-17,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 16+,DR 16,+,MP6_HYPOXIA,0.5914,MP6_HYPOXIA,0.5914,MP6_HYPOXIA,30.1149,7.675382012183791e-31,True,True,True,True,stress,stress,convergent,False,depth
DR 16-,DR 16,-,MP3_CELL_CYCLE_HMG_RICH,0.1661,MP3_CELL_CYCLE_HMG_RICH,0.1661,MP17_INTERFERON_MHC_II_1,1.4509,0.035407886136849795,False,True,False,False,cell_cycle,immune,factor_only_candidate_patient_or_technical,False,none
DR 17+,DR 17,+,MP21_RESPIRATION,0.3523,MP21_RESPIRATION,0.3523,MP32_SKIN_PIGMENTATION,1.4911,0.03227750819048053,True,True,False,False,metabolic,other_lineage,both_routes_different_family,False,depth
DR 17-,DR 17,-,MP8_PROTEASOMAL_DEGRADATION,0.1797,MP8_PROTEASOMAL_DEGRADATION,0.1797,MP8_PROTEASOMAL_DEGRADATION,3.823,0.00015031419660900224,False,True,False,False,proteostasis,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 18+,DR 18,+,MP15_EMT_4,0.2722,MP15_EMT_4,0.2722,MP11_TRANSLATION_INITIATION,0.7651,0.17175128696706293,True,False,False,False,emt,proteostasis,cell_only_state_not_on_one_axis,False,mesenchymal_may_be_ambient_or_doublet
DR 18-,DR 18,-,MP2_CELL_CYCLE_G1_S,0.5436,MP2_CELL_CYCLE_G1_S,0.5436,MP2_CELL_CYCLE_G1_S,14.8236,1.5010667325703663e-15,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 19+,DR 19,+,MP17_INTERFERON_MHC_II_1,0.563,MP17_INTERFERON_MHC_II_1,0.563,MP17_INTERFERON_MHC_II_1,25.5475,2.834653633489671e-26,True,True,True,True,immune,immune,convergent,False,none
DR 19-,DR 19,-,MP21_RESPIRATION,0.1386,MP21_RESPIRATION,0.1386,MP21_RESPIRATION,2.0265,0.009408058300365892,False,True,False,False,metabolic,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 20+,DR 20,+,MP39_METAL_RESPONSE,0.4089,MP39_METAL_RESPONSE,0.4089,MP39_METAL_RESPONSE,3.233,0.0005847900841444806,True,True,True,True,detoxification,detoxification,convergent,False,depth
DR 20-,DR 20,-,MP27_OLIGO_PROGENITOR,0.099,MP27_OLIGO_PROGENITOR,0.099,MP14_EMT_3,8.0526,8.859312069730529e-09,False,True,False,False,neural,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 21+,DR 21,+,MP26_NPC_GLIOMA,0.1033,MP26_NPC_GLIOMA,0.1033,MP6_HYPOXIA,1.0218,0.09510426641573921,False,False,False,False,neural,stress,neither,False,lineage_control_claim_bounds_the_rest
DR 21-,DR 21,-,MP17_INTERFERON_MHC_II_1,0.4307,MP17_INTERFERON_MHC_II_1,0.4307,MP17_INTERFERON_MHC_II_1,23.9712,1.0685626745999621e-24,True,True,True,True,immune,immune,convergent,False,none
DR 22+,DR 22,+,MP21_RESPIRATION,0.1828,MP21_RESPIRATION,0.1828,MP17_INTERFERON_MHC_II_1,4.0915,8.100279416803507e-05,False,True,False,False,metabolic,immune,factor_only_candidate_patient_or_technical,False,none
DR 22-,DR 22,-,MP22_SECRETED_1,0.4704,MP22_SECRETED_1,0.4704,MP19_EPITHELIAL_SENESCENCE,12.7006,1.9925076614963983e-13,True,True,False,False,secreted,senescence,both_routes_different_family,False,none
DR 23+,DR 23,+,MP21_RESPIRATION,0.1788,MP21_RESPIRATION,0.1788,MP21_RESPIRATION,2.0265,0.009408058300365892,False,True,False,False,metabolic,metabolic,factor_only_candidate_patient_or_technical,False,depth
DR 23-,DR 23,-,MP10_PROTEIN_MATURATION,0.4588,MP10_PROTEIN_MATURATION,0.4588,MP17_INTERFERON_MHC_II_1,13.3006,5.004952959591691e-14,True,True,False,False,proteostasis,immune,both_routes_different_family,False,depth
DR 24+,DR 24,+,MP2_CELL_CYCLE_G1_S,0.5074,MP2_CELL_CYCLE_G1_S,0.5074,MP2_CELL_CYCLE_G1_S,20.5367,2.9060293752636326e-21,True,True,True,True,cell_cycle,cell_cycle,convergent,False,cell_cycle
DR 24-,DR 24,-,MP23_SECRETED_2,0.1987,MP23_SECRETED_2,0.1987,MP11_TRANSLATION_INITIATION,1.4384,0.03644181507888611,False,True,False,False,secreted,proteostasis,factor_only_candidate_patient_or_technical,False,none
