# convergence | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP21_RESPIRATION,0.2068,MP21_RESPIRATION,0.2068,MP14_EMT_3,6.3736,4.2305808577652356e-07,True,True,False,False,metabolic,emt,both_routes_different_family,False,none
DR 1-,DR 1,-,MP12_EMT_1,0.4283,MP12_EMT_1,0.4283,MP12_EMT_1,22.9881,1.0277796158762299e-23,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 2+,DR 2,+,MP30_PDAC_CLASSICAL,0.3198,MP30_PDAC_CLASSICAL,0.3198,MP5_STRESS,3.4198,0.00038036452032855575,True,True,False,False,epithelial_lineage,stress,both_routes_different_family,False,cell_cycle
DR 2-,DR 2,-,MP14_EMT_3,0.4485,MP14_EMT_3,0.4485,MP13_EMT_2,18.1331,7.360375990609105e-19,True,True,False,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
DR 3+,DR 3,+,MP40_PDAC_RELATED,0.2339,MP40_PDAC_RELATED,0.2339,MP14_EMT_3,2.6766,0.002105716983911753,True,True,False,False,epithelial_lineage,emt,both_routes_different_family,False,none
DR 3-,DR 3,-,MP30_PDAC_CLASSICAL,0.2591,MP30_PDAC_CLASSICAL,0.2591,MP23_SECRETED_2,3.309,0.0004909078761526029,True,True,False,False,epithelial_lineage,secreted,both_routes_different_family,False,cell_cycle
DR 4+,DR 4,+,MP23_SECRETED_2,0.2416,MP23_SECRETED_2,0.2416,MP23_SECRETED_2,7.687,2.0558905959841406e-08,True,True,True,True,secreted,secreted,convergent,False,none
DR 4-,DR 4,-,MP8_PROTEASOMAL_DEGRADATION,0.1426,MP8_PROTEASOMAL_DEGRADATION,0.1426,MP14_EMT_3,6.3736,4.2305808577652356e-07,False,True,False,False,proteostasis,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 5+,DR 5,+,MP14_EMT_3,0.1946,MP14_EMT_3,0.1946,MP14_EMT_3,9.1886,6.477389306956367e-10,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP12_EMT_1,0.3131,MP12_EMT_1,0.3131,MP12_EMT_1,5.7011,1.990215022279334e-06,True,True,True,True,emt,emt,convergent,False,mesenchymal_may_be_ambient_or_doublet
